Observed, 10 min ahead, 30 min ahead
1813.4,1820.88745117188,1820.54125976562
1900,1879.08557128906,1821.93200683594
1670,1681.47827148438,1729.41613769531
1707.1,1730.59643554688,1725.58813476562
1822.9,1758.47631835938,1753.66748046875
1619.3,1594.99011230469,1633.68310546875
1565.6,1581.98034667969,1582.03918457031
1441.1,1469.39831542969,1551.51721191406
1600.4,1592.33630371094,1656.98193359375
1683.8,1660.845703125,1633.00341796875
1636.5,1644.43371582031,1633.14038085938
1716.4,1706.00610351562,1681.0244140625
1549.4,1532.99304199219,1529.28955078125
1232.6,1282.44702148438,1346.83471679688
1313,1290.39990234375,1374.6982421875
1011.5,1106.16381835938,1068.38488769531
1137.9,1196.8896484375,1164.1591796875
1417.2,1360.69702148438,1344.15307617188
1314,1235.05114746094,1222.67956542969
1081.7,1067.26928710938,1160.25305175781
1432.7,1430.06335449219,1384.71740722656
1599.6,1472.9599609375,1444.83154296875
1573.6,1564.27160644531,1426.15258789062
1688.1,1698.86499023438,1523.21765136719
1782.4,1767.52136230469,1732.63879394531
1655.7,1668.30126953125,1623.56616210938
1803.6,1819.42883300781,1691.12963867188
1741.4,1777.64929199219,1754.97827148438
1815.4,1834.62390136719,1771.96875
1924.5,1907.30041503906,1831.02954101562
1736.1,1744.93359375,1745.77270507812
1848.3,1894.70336914062,1847.16357421875
1854.8,1838.73620605469,1844.70349121094
1667.6,1708.32971191406,1696.54321289062
1845.8,1830.404296875,1845.09594726562
1776.3,1728.72436523438,1811.80676269531
1762.4,1783.8447265625,1752.85290527344
1834.5,1807.62744140625,1778.29699707031
1662,1675.72326660156,1690.42529296875
1617.4,1621.74645996094,1629.4990234375
1700.3,1693.12194824219,1714.22241210938
1927.4,1884.2177734375,1867.01391601562
1960.3,1965.28405761719,1941.40441894531
1979.1,2051.8359375,1984.83959960938
1902.2,1936.17736816406,1918.60290527344
1976.4,1967.66711425781,1971.55224609375
1987.6,1984.45617675781,1948.68041992188
1782.2,1812.57971191406,1819.203125
1772.7,1800.54638671875,1830.48156738281
1857.9,1850.32775878906,1856.79821777344
1941.7,1885.97119140625,1859.69995117188
1697.9,1714.85278320312,1729.69775390625
1877.9,1819.00830078125,1844.38305664062
1929.2,1922.81311035156,1907.92358398438
1980.2,1994.20751953125,1980.36462402344
1972.7,1993.12219238281,1985.0947265625
1971.1,1971.10046386719,1981.16748046875
1853,1889.76940917969,1897.18017578125
1881.9,1903.77783203125,1918.03491210938
1990.4,1980.08251953125,1977.2724609375
1934.3,1956.20300292969,1949.88073730469
1993,1977.23327636719,1979.29345703125
1762.2,1820.04052734375,1851.41870117188
1798.7,1791.51196289062,1812.80810546875
1746.4,1735.17541503906,1785.04614257812
1883.2,1866.5380859375,1868.85473632812
1934.3,1919.95166015625,1918.23950195312
1943.6,1965.88305664062,1953.61608886719
1981.2,1976.89880371094,1958.00805664062
1988.6,2001.494140625,2003.845703125
1981.6,1984.70520019531,1970.75964355469
1955.5,1971.79565429688,1955.5615234375
1995.6,2043.77270507812,2030.90258789062
1992.9,2013.54895019531,2015.65747070312
1993.5,2009.57470703125,2000.04663085938
1994.7,1987.46813964844,1994.69799804688
1907.4,1925.94348144531,1973.78002929688
1992.1,1992.77294921875,1987.45495605469
1874,1872.73071289062,1905.14611816406
1908.9,1866.54089355469,1918.01782226562
1607.7,1637.88732910156,1836.86279296875
1899,1845.32836914062,1858.28234863281
1792.6,1753.22998046875,1804.61547851562
1764,1769.1865234375,1826.74365234375
1889.7,1838.07397460938,1843.208984375
980.9,1090.41076660156,1306.96435546875
1473.3,1483.07153320312,1453.97546386719
1594.8,1537.16247558594,1548.70434570312
1738.6,1668.16052246094,1639.26013183594
1895.2,1960.39233398438,1901.75756835938
1986.9,1936.79565429688,1883.4990234375
1883.5,1810.69860839844,1787.97009277344
1733.4,1679.62243652344,1649.02368164062
1424.7,1452.13549804688,1509.03564453125
1790.1,1714.72241210938,1627.74328613281
1618.6,1537.19738769531,1496.99536132812
1026.6,1226.12268066406,1270.83618164062
1895.5,1916.70483398438,1837.39758300781
1765.6,1824.0048828125,1832.94287109375
1749.4,1842.6748046875,1754.46044921875
1948.2,2081.19873046875,1824.97338867188
1727,1597.51257324219,1636.84497070312
1136.1,1376.7666015625,1464.44995117188
1596.9,1446.59899902344,1521.63842773438
1287.8,1482.09899902344,1532.93530273438
1153,1422.30334472656,1484.17614746094
1418.2,1555.14978027344,1566.50268554688
1246.2,1384.09875488281,1423.65161132812
1267.3,1401.15869140625,1447.38134765625
1410,1523.4296875,1545.31237792969
1608.4,1623.08898925781,1594.69775390625
1555.6,1598.76110839844,1584.07312011719
1669.1,1611.94799804688,1558.11987304688
1496.4,1438.23754882812,1458.57080078125
1258,1295.4814453125,1375.26953125
1094.2,1159.61083984375,1354.28918457031
1136.4,1189.15942382812,1227.84057617188
1352.3,1273.03759765625,1248.97326660156
1197.3,1254.4306640625,1278.05615234375
1330.8,1517.60778808594,1486.86413574219
1641.4,1626.26525878906,1551.248046875
1825,1673.82360839844,1486.94689941406
1895.5,1779.9248046875,1721.9169921875
1699.9,1743.99182128906,1694.38671875
1921.9,1824.92419433594,1634.14404296875
1987.4,1917.20715332031,1877.76098632812
1984.8,1921.345703125,1835.21252441406
1988.2,1968.98974609375,1858.17944335938
1966.7,1887.291015625,1904.83813476562
1892.8,1870.5888671875,1860.97778320312
1919.6,1848.1357421875,1828.99401855469
1940.9,1868.01354980469,1880.552734375
1942.5,1936.05541992188,1887.53369140625
1949.3,1938.63989257812,1886.29211425781
1935.4,1937.64709472656,1936.32434082031
1840.2,1936.16613769531,1913.48510742188
1800.4,1928.73400878906,1918.85876464844
1927.6,1985.13024902344,1959.43383789062
1982.8,1981.20043945312,1949.42138671875
1965.6,2012.453125,1983.45068359375
